hotel,lead_time,arrival_month,arrival_week_number,stays_in_week_nights,stays_in_weekend_nights,adults,children,babies,room_type,previous_cancellations,previous_bookings_not_canceled,adr,occupancy_rate
Resort Hotel,71,3,12,0,2,1,2,1,Suite,0,0,7402.06,0.57
City Hotel,132,3,30,4,1,2,1,0,Suite,4,9,8947.82,0.68
Resort Hotel,105,2,47,4,1,2,1,0,Deluxe,1,7,5881.68,0.743
City Hotel,219,8,40,4,2,1,1,1,Deluxe,2,4,5676.18,0.815
City Hotel,176,10,40,7,2,2,1,0,Suite,0,3,8791.46,0.753
City Hotel,281,1,22,3,0,1,0,1,Deluxe,2,7,4766.94,0.592
City Hotel,132,8,18,4,0,3,2,1,Standard,1,7,5096.88,0.831
City Hotel,21,7,14,5,1,1,2,1,Family,3,7,9018.65,0.625
Resort Hotel,268,7,25,1,1,1,1,1,Deluxe,3,2,5131.61,0.765
Resort Hotel,160,3,10,5,0,2,2,1,Family,0,7,7617.27,0.706
Resort Hotel,106,1,36,5,0,1,2,1,Deluxe,1,0,4498.98,0.533
Resort Hotel,278,4,48,2,3,1,2,0,Suite,0,3,8805.56,0.647
Resort Hotel,352,9,48,3,3,2,1,0,Deluxe,0,4,5380.24,0.93
City Hotel,234,5,49,7,1,1,2,1,Family,0,5,7763.53,0.562
Resort Hotel,17,1,9,4,3,2,2,1,Family,2,4,7195.62,0.498
Resort Hotel,241,5,11,2,0,3,2,1,Suite,4,4,8936.98,0.681
City Hotel,116,8,27,0,1,1,0,0,Family,1,4,7273.75,0.611
Resort Hotel,285,8,13,0,2,3,0,0,Suite,2,8,8615.93,0.693
City Hotel,281,5,1,7,2,1,2,0,Suite,4,9,8956.99,0.503
Resort Hotel,143,12,39,2,0,1,2,1,Family,0,9,8430.05,0.611
City Hotel,204,9,11,1,3,3,2,0,Standard,3,2,5644.84,0.749
Resort Hotel,38,1,3,7,2,3,2,1,Family,2,1,8310.0,0.392
Resort Hotel,153,4,2,2,3,2,2,0,Family,1,9,7352.01,0.508
City Hotel,175,3,46,2,2,2,2,1,Deluxe,1,1,5297.52,0.677
City Hotel,240,2,42,3,3,3,0,1,Family,4,7,7626.91,0.567
City Hotel,133,8,24,7,2,1,1,1,Deluxe,2,4,5998.62,0.696
City Hotel,45,7,20,0,2,2,2,0,Deluxe,0,4,6266.09,0.638
City Hotel,49,9,49,0,1,1,2,0,Family,4,5,7207.86,0.879
City Hotel,165,2,40,4,1,2,2,0,Suite,1,8,8511.45,0.774
City Hotel,105,4,15,5,0,2,1,1,Standard,2,6,3538.44,0.661
City Hotel,215,6,6,7,2,2,2,1,Family,3,4,7945.35,0.387
Resort Hotel,145,11,20,2,3,3,2,0,Family,0,4,9054.57,0.772
Resort Hotel,71,3,22,7,2,1,1,0,Suite,1,9,9210.61,0.469
City Hotel,329,8,2,2,3,3,2,1,Deluxe,2,8,5984.54,0.655
Resort Hotel,272,3,15,1,3,2,1,1,Suite,3,8,8767.15,0.623
Resort Hotel,246,12,48,7,2,3,1,0,Suite,1,1,9715.7,0.811
Resort Hotel,185,2,34,6,3,3,2,1,Deluxe,3,6,6521.37,0.413
Resort Hotel,69,3,46,6,0,3,0,0,Family,1,9,7403.19,0.506
City Hotel,149,11,31,0,1,1,0,0,Suite,4,0,9429.81,0.89
Resort Hotel,245,6,30,1,3,3,2,1,Suite,4,3,8900.58,0.809
City Hotel,261,2,28,3,2,3,1,0,Family,4,1,6830.34,0.686
Resort Hotel,25,8,52,4,1,3,1,0,Family,2,9,8854.69,0.565
Resort Hotel,139,1,33,1,0,3,1,1,Standard,4,8,3592.66,0.49
Resort Hotel,98,7,41,0,3,3,2,0,Suite,2,5,9183.32,0.602
City Hotel,277,2,49,3,3,3,0,0,Standard,0,3,3816.92,0.617
Resort Hotel,50,10,21,2,1,3,1,1,Deluxe,4,2,6733.87,0.721
City Hotel,150,12,46,3,3,2,1,1,Family,2,3,8873.64,0.699
Resort Hotel,103,6,23,5,2,3,2,0,Family,1,1,8662.59,0.798
City Hotel,88,12,42,7,1,3,0,0,Standard,2,4,4921.02,0.742
Resort Hotel,140,2,13,1,1,1,0,1,Suite,2,8,7721.34,0.651
City Hotel,212,2,45,0,3,2,2,1,Deluxe,1,5,4544.71,0.489
City Hotel,232,10,26,1,0,3,0,0,Suite,2,1,8511.55,0.829
Resort Hotel,182,8,19,2,0,1,2,0,Suite,1,5,8881.42,0.668
City Hotel,250,12,27,6,0,3,1,0,Standard,3,8,5788.78,0.696
Resort Hotel,8,2,40,2,0,3,2,0,Suite,4,3,8667.23,0.665
Resort Hotel,78,7,7,0,1,3,1,1,Standard,0,0,4216.79,0.604
Resort Hotel,51,3,25,5,1,3,2,1,Family,2,1,7822.15,0.586
Resort Hotel,268,8,49,4,3,3,1,1,Family,1,4,8460.06,0.57
Resort Hotel,225,7,40,7,0,1,1,1,Family,4,9,7240.38,0.537
Resort Hotel,50,8,36,7,0,3,2,0,Deluxe,2,6,6397.34,0.854
Resort Hotel,185,7,7,3,3,1,1,1,Deluxe,4,7,6656.19,0.689
Resort Hotel,33,11,20,3,3,3,0,0,Suite,3,2,10291.11,0.764
Resort Hotel,290,6,24,2,3,1,2,0,Standard,2,8,3669.11,0.608
Resort Hotel,229,7,28,1,2,2,0,1,Suite,1,1,8270.96,0.597
Resort Hotel,130,5,49,6,3,3,1,1,Family,3,3,8012.1,0.683
City Hotel,119,7,5,1,3,2,1,0,Suite,2,3,8459.21,0.817
City Hotel,325,1,52,5,2,2,1,1,Suite,4,5,7943.36,0.607
Resort Hotel,246,1,36,4,0,2,2,0,Suite,3,9,8169.3,0.586
Resort Hotel,191,9,31,7,1,3,1,0,Family,1,5,9345.71,0.694
Resort Hotel,322,5,51,1,0,2,0,1,Standard,2,2,3258.88,0.689
Resort Hotel,209,5,33,7,1,1,0,0,Suite,4,8,9003.04,0.82
Resort Hotel,102,3,24,3,1,3,2,1,Family,4,4,7600.32,0.548
Resort Hotel,328,5,10,7,3,2,0,1,Deluxe,3,1,5564.65,0.661
Resort Hotel,132,3,38,6,3,3,2,1,Standard,2,5,4682.92,0.711
Resort Hotel,322,9,44,7,2,2,2,0,Family,4,2,8934.06,0.92
City Hotel,138,9,49,1,0,1,1,1,Suite,3,7,8574.59,0.739
Resort Hotel,120,6,5,6,0,3,0,0,Family,0,2,8071.13,0.735
City Hotel,93,1,31,7,1,3,0,1,Standard,4,4,4061.51,0.5
Resort Hotel,128,7,9,4,3,2,0,0,Suite,3,3,9181.7,0.707
Resort Hotel,90,7,32,3,3,1,1,0,Deluxe,0,3,6601.5,0.651
City Hotel,91,10,41,7,0,3,2,0,Deluxe,3,1,7339.05,0.867
Resort Hotel,62,10,5,6,2,2,0,0,Deluxe,4,7,6805.61,0.918
City Hotel,28,4,51,1,3,1,0,0,Family,0,2,7217.29,0.479
Resort Hotel,209,8,27,3,2,1,0,1,Standard,3,3,3022.97,0.69
Resort Hotel,11,6,28,2,0,1,0,0,Deluxe,2,5,5498.57,0.596
City Hotel,332,4,43,2,0,1,1,1,Suite,0,8,7303.42,0.568
Resort Hotel,296,4,12,5,2,3,2,1,Suite,3,3,8904.63,0.576
City Hotel,129,2,5,2,3,3,0,1,Suite,2,2,8430.08,0.463
Resort Hotel,292,2,8,1,0,1,0,1,Family,0,4,6345.3,0.578
City Hotel,172,12,17,4,1,2,2,0,Standard,3,8,6362.97,0.683
City Hotel,207,4,8,3,0,2,1,1,Standard,4,0,4358.48,0.688
Resort Hotel,23,5,34,6,3,1,1,1,Deluxe,0,4,6298.71,0.654
Resort Hotel,98,8,23,0,1,1,1,1,Standard,0,3,4383.32,0.594
City Hotel,355,6,18,2,0,2,1,1,Suite,2,4,8089.76,0.539
Resort Hotel,138,4,51,2,3,1,0,1,Suite,3,6,8419.81,0.678
Resort Hotel,313,11,10,0,3,1,2,1,Family,4,6,8130.93,0.705
Resort Hotel,173,7,39,6,0,3,2,0,Suite,2,6,9113.77,0.83
City Hotel,28,8,41,6,3,3,2,0,Standard,0,0,5413.59,0.488
City Hotel,142,2,44,0,2,1,1,0,Suite,2,8,7067.3,0.445
City Hotel,315,12,44,6,1,1,1,1,Deluxe,2,6,6482.28,0.762
City Hotel,350,7,5,1,2,3,2,1,Family,2,3,7732.04,0.672
City Hotel,41,2,43,6,0,1,0,1,Family,0,3,7081.53,0.616
City Hotel,298,2,17,3,2,3,1,0,Standard,1,1,3103.26,0.53
City Hotel,207,8,47,6,0,3,0,1,Suite,2,5,9246.08,0.668
City Hotel,329,2,11,7,0,2,2,1,Suite,1,9,8523.08,0.483
City Hotel,191,11,47,7,3,3,1,0,Standard,4,2,5898.8,0.696
Resort Hotel,159,9,48,2,3,2,0,1,Standard,4,0,4666.24,0.654
City Hotel,63,12,19,4,0,2,1,0,Deluxe,4,4,6817.57,0.792
Resort Hotel,242,1,21,1,1,3,2,1,Standard,3,5,3395.11,0.34
Resort Hotel,257,9,44,1,1,1,2,1,Suite,0,4,9063.92,0.779
Resort Hotel,151,1,3,6,1,3,2,1,Deluxe,1,4,5635.76,0.532
City Hotel,214,10,40,4,2,2,0,0,Family,3,9,7745.49,0.738
City Hotel,321,10,43,4,0,3,1,1,Suite,1,7,9168.84,0.864
City Hotel,165,2,1,5,3,3,1,0,Family,0,9,7863.44,0.609
City Hotel,30,6,24,4,2,2,1,1,Family,2,0,8500.79,0.663
Resort Hotel,231,6,36,6,2,3,2,0,Family,3,7,8804.03,0.715
City Hotel,281,1,6,6,3,3,0,1,Suite,0,6,7963.98,0.463
City Hotel,28,7,10,0,0,2,2,0,Family,3,0,8856.51,0.734
City Hotel,194,8,47,2,2,1,2,0,Suite,4,8,8758.51,0.782
City Hotel,333,2,40,7,0,2,0,1,Family,3,3,6720.45,0.305
City Hotel,255,8,46,5,0,2,2,0,Standard,2,6,5184.92,0.877
Resort Hotel,280,9,34,6,0,3,2,0,Standard,2,2,4156.72,0.758
City Hotel,303,6,24,0,3,2,1,0,Suite,1,7,8559.25,0.711
Resort Hotel,320,5,23,5,0,3,0,1,Family,3,3,7165.98,0.733
City Hotel,322,12,20,2,2,3,0,0,Family,4,1,7558.46,0.786
Resort Hotel,345,9,38,5,3,3,1,1,Family,2,1,7669.88,0.683
City Hotel,293,12,35,0,3,2,0,0,Standard,1,7,5075.09,0.83
City Hotel,86,11,34,3,2,2,1,0,Family,4,7,8936.05,1.0
Resort Hotel,148,9,46,7,3,3,2,0,Family,4,0,9628.17,0.715
Resort Hotel,248,1,50,6,2,1,0,0,Suite,4,5,7434.09,0.461
Resort Hotel,320,11,47,7,1,1,0,1,Family,0,8,8253.89,0.909
City Hotel,282,3,36,2,2,2,2,1,Standard,2,8,4814.76,0.366
Resort Hotel,361,9,16,1,3,3,2,0,Family,0,1,8009.46,0.714
City Hotel,197,11,23,2,2,3,0,1,Standard,0,7,4881.19,0.711
City Hotel,43,2,44,2,1,2,0,1,Standard,2,7,3519.56,0.613
Resort Hotel,355,12,49,2,0,1,0,0,Deluxe,3,3,5735.33,0.814
Resort Hotel,27,4,1,3,0,2,1,0,Standard,1,3,3656.29,0.49
City Hotel,16,4,52,6,0,2,0,0,Deluxe,2,4,5889.92,0.665
City Hotel,126,2,9,0,3,3,0,0,Deluxe,1,9,6061.86,0.468
Resort Hotel,167,3,12,6,1,2,2,0,Family,3,6,7690.8,0.57
Resort Hotel,243,3,37,1,2,1,2,0,Deluxe,2,0,5774.52,0.532
Resort Hotel,75,1,17,0,2,2,1,1,Suite,4,8,9528.09,0.606
City Hotel,230,6,3,5,2,3,2,0,Standard,2,2,4333.19,0.604
City Hotel,203,8,38,5,2,1,0,0,Suite,3,3,9264.14,0.391
City Hotel,247,12,29,5,3,3,0,0,Deluxe,0,6,6423.83,0.688
City Hotel,301,3,31,0,3,2,1,1,Family,2,4,6777.67,0.581
City Hotel,213,5,35,4,1,2,2,0,Standard,4,4,5471.51,0.559
City Hotel,214,1,38,3,2,2,2,1,Suite,2,0,8645.48,0.644
Resort Hotel,157,10,26,4,0,3,2,1,Family,0,1,8839.2,0.648
City Hotel,68,7,13,6,3,2,1,1,Deluxe,2,4,6122.63,0.733
City Hotel,84,10,19,5,1,1,2,0,Family,4,1,8329.5,0.831
City Hotel,266,1,32,3,1,1,2,1,Suite,3,0,7500.26,0.543
Resort Hotel,68,12,47,0,3,3,2,0,Family,4,9,8549.12,0.841
City Hotel,98,11,27,5,0,3,0,0,Suite,3,2,10268.4,0.762
City Hotel,346,9,39,0,0,3,1,0,Family,4,0,7902.9,0.753
Resort Hotel,215,8,13,3,2,2,0,0,Standard,1,9,4187.59,0.651
City Hotel,160,7,52,0,3,1,1,1,Family,2,7,7256.79,0.698
City Hotel,93,10,34,0,0,1,2,0,Standard,2,7,4877.12,0.721
City Hotel,173,7,19,1,3,1,0,1,Suite,0,7,9446.27,0.646
City Hotel,164,5,19,6,1,3,2,1,Standard,1,6,5217.67,0.558
City Hotel,114,5,3,4,1,3,2,0,Family,0,6,8176.68,0.603
Resort Hotel,219,11,3,7,1,2,1,0,Standard,2,1,5673.05,0.926
Resort Hotel,30,5,26,4,3,3,2,1,Suite,0,8,10174.07,0.601
Resort Hotel,10,1,6,4,2,1,0,1,Family,3,6,7106.37,0.619
City Hotel,342,8,13,2,2,2,1,0,Standard,1,4,4191.9,0.752
City Hotel,129,12,46,1,0,3,1,0,Standard,4,3,4778.07,0.825
City Hotel,104,11,38,7,3,3,0,0,Deluxe,3,7,7756.31,0.804
Resort Hotel,26,1,27,5,2,1,2,1,Standard,4,4,3913.72,0.527
City Hotel,226,4,41,5,3,2,2,0,Deluxe,0,5,5558.39,0.542
City Hotel,1,9,24,5,2,3,2,0,Suite,2,3,9875.7,0.897
Resort Hotel,358,9,10,4,1,3,2,0,Deluxe,3,1,6413.81,0.831
City Hotel,100,5,16,6,1,2,2,0,Suite,1,6,8877.35,0.629
Resort Hotel,20,4,23,4,0,2,1,1,Standard,4,1,5519.86,0.607
Resort Hotel,57,3,47,7,1,3,1,1,Standard,3,6,4779.76,0.632
Resort Hotel,179,3,12,6,2,3,0,0,Deluxe,2,6,5545.14,0.469
City Hotel,340,12,28,1,0,1,2,1,Suite,1,0,9212.04,0.722
City Hotel,348,5,13,6,0,2,2,0,Standard,1,9,4421.9,0.437
City Hotel,19,10,18,7,1,3,2,1,Deluxe,4,9,7670.9,0.729
City Hotel,254,1,2,0,3,3,0,1,Deluxe,3,2,4361.85,0.644
City Hotel,316,5,46,4,1,3,2,0,Deluxe,3,2,5863.05,0.597
City Hotel,37,6,17,5,1,3,1,0,Standard,1,5,4706.19,0.869
City Hotel,147,7,23,0,0,1,2,0,Suite,0,2,8428.69,0.631
Resort Hotel,24,12,23,4,1,2,0,0,Standard,1,8,4837.69,0.818
City Hotel,120,9,1,3,2,3,1,1,Family,2,4,8947.76,0.697
Resort Hotel,25,3,43,2,0,2,1,0,Family,3,5,7535.53,0.351
City Hotel,168,2,14,4,1,2,1,0,Standard,4,5,3895.6,0.522
City Hotel,322,3,12,3,3,3,2,0,Suite,3,7,7779.81,0.491
City Hotel,224,12,14,7,2,3,0,0,Deluxe,1,9,6952.6,0.823
Resort Hotel,0,9,49,1,3,3,0,0,Family,2,2,9074.92,0.853
Resort Hotel,306,12,44,3,2,1,2,0,Family,0,8,8584.55,0.765
Resort Hotel,260,7,38,1,3,3,0,1,Standard,3,6,3548.16,0.712
Resort Hotel,12,9,41,4,1,2,1,0,Family,1,5,9359.46,0.704
City Hotel,47,2,44,1,2,2,1,1,Family,1,0,5993.82,0.64
Resort Hotel,312,5,49,3,0,1,0,0,Deluxe,1,3,4989.78,0.853
City Hotel,290,4,16,6,0,3,0,1,Deluxe,2,4,6377.86,0.748
City Hotel,331,2,34,2,3,3,2,1,Suite,1,1,7653.95,0.488
Resort Hotel,93,9,18,0,3,1,2,1,Family,1,0,7925.81,0.863
Resort Hotel,260,9,48,0,3,1,2,0,Suite,1,1,8327.0,0.755
Resort Hotel,277,6,10,2,2,3,2,1,Suite,3,7,9751.8,0.773
Resort Hotel,358,11,19,5,0,3,2,0,Deluxe,1,9,6324.43,0.672
Resort Hotel,204,6,30,0,1,2,2,1,Deluxe,2,5,6189.1,0.641
Resort Hotel,184,8,4,7,2,3,1,0,Standard,3,9,5826.44,0.718
Resort Hotel,174,6,7,4,3,3,0,0,Deluxe,1,1,5509.47,0.645
Resort Hotel,308,1,16,5,0,2,2,1,Suite,0,8,7386.2,0.554
City Hotel,68,4,51,4,3,2,1,0,Family,2,7,8103.58,0.589
Resort Hotel,103,7,37,3,1,2,0,1,Suite,0,3,9331.81,0.639
Resort Hotel,245,2,5,7,1,2,0,1,Suite,2,9,8274.75,0.504
City Hotel,160,9,39,3,0,1,0,0,Suite,0,6,8842.79,0.643
Resort Hotel,199,8,49,5,2,2,2,1,Deluxe,1,2,7341.92,0.731
City Hotel,215,8,33,5,1,1,2,0,Suite,0,5,9150.02,0.686
City Hotel,211,7,35,7,1,2,2,1,Standard,0,2,5516.21,0.621
Resort Hotel,15,4,48,7,1,2,0,0,Family,2,9,7581.84,0.45
City Hotel,331,2,34,5,1,2,0,0,Deluxe,1,2,6136.78,0.604
City Hotel,204,3,33,5,3,3,1,0,Suite,2,8,8499.57,0.643
City Hotel,364,12,39,1,3,1,1,1,Standard,1,5,5064.06,0.706
City Hotel,38,6,10,6,2,2,1,0,Family,4,7,7840.77,0.66
Resort Hotel,88,12,3,5,0,3,1,0,Suite,3,3,10617.3,0.745
City Hotel,255,12,50,7,0,1,0,0,Family,3,3,8286.16,0.872
Resort Hotel,253,5,29,6,0,1,2,0,Deluxe,2,7,5882.95,0.575
City Hotel,215,12,35,5,1,3,2,0,Deluxe,1,6,7602.87,0.751
City Hotel,302,8,31,3,3,1,2,0,Standard,0,4,4518.99,0.713
City Hotel,171,6,39,4,3,3,2,0,Deluxe,3,1,6636.91,0.608
City Hotel,136,6,15,6,2,2,1,0,Standard,2,5,3698.99,0.601
Resort Hotel,177,1,1,3,0,3,0,0,Suite,2,0,8685.29,0.464
Resort Hotel,76,4,19,0,3,1,2,1,Family,2,6,8212.5,0.556
City Hotel,187,5,37,7,2,1,0,0,Deluxe,1,8,5722.72,0.588
City Hotel,14,12,27,1,0,2,1,0,Family,2,4,8850.5,0.801
Resort Hotel,291,11,21,1,1,3,1,0,Family,4,4,8850.95,0.759
City Hotel,318,3,7,4,3,2,2,1,Suite,0,6,8914.64,0.624
City Hotel,324,9,43,5,3,3,2,0,Suite,2,4,9536.21,0.61
City Hotel,213,1,33,3,0,3,1,0,Deluxe,1,9,4523.46,0.734
Resort Hotel,207,6,2,0,1,3,1,1,Suite,0,3,9003.23,0.652
Resort Hotel,168,6,14,3,1,2,0,1,Family,0,0,7533.56,0.747
Resort Hotel,329,10,42,7,3,2,1,1,Standard,3,5,5039.29,0.798
City Hotel,279,5,3,7,0,1,0,0,Standard,2,8,3311.12,0.637
City Hotel,304,12,14,5,2,2,1,0,Standard,2,3,4921.53,0.845
Resort Hotel,145,5,5,5,3,3,0,0,Deluxe,1,9,6328.37,0.659
Resort Hotel,262,10,17,7,1,3,1,0,Suite,4,3,9728.81,0.732
Resort Hotel,3,5,39,2,2,3,1,1,Suite,4,4,9260.38,0.864
Resort Hotel,89,6,1,7,0,2,0,1,Suite,3,5,9106.47,0.761
City Hotel,59,8,43,3,1,1,0,0,Suite,4,2,9310.66,0.541
Resort Hotel,310,2,28,4,2,2,2,1,Family,1,8,6461.81,0.655
City Hotel,15,6,38,3,3,1,2,0,Standard,3,0,4491.99,0.657
Resort Hotel,226,1,48,1,1,2,1,0,Family,2,5,6047.07,0.689
City Hotel,28,4,14,0,0,3,1,0,Deluxe,4,5,5721.76,0.567
Resort Hotel,150,10,17,6,1,1,0,0,Standard,1,7,4294.99,0.516
Resort Hotel,244,3,15,4,3,2,1,1,Standard,1,4,4331.74,0.54
Resort Hotel,269,9,46,2,0,3,2,1,Family,2,8,7906.41,0.565
Resort Hotel,78,3,7,0,3,1,0,0,Deluxe,1,8,4805.9,0.507
City Hotel,288,6,42,0,2,1,1,0,Deluxe,3,1,4807.35,0.593
Resort Hotel,152,1,51,6,1,3,0,1,Standard,3,4,3871.51,0.563
City Hotel,276,12,7,1,3,3,2,1,Suite,0,6,9313.32,0.825
City Hotel,278,6,47,1,2,2,2,0,Deluxe,2,1,5697.45,0.714
City Hotel,56,4,24,1,0,2,2,1,Family,1,6,7429.82,0.655
City Hotel,185,8,26,4,0,3,1,1,Deluxe,4,8,6068.96,0.894
Resort Hotel,92,11,14,3,2,2,1,1,Standard,3,7,5275.48,0.775
City Hotel,275,9,47,0,2,3,1,0,Suite,2,9,8868.5,0.776
City Hotel,157,4,19,3,0,3,1,1,Deluxe,2,8,5828.27,0.688
City Hotel,274,10,26,3,3,2,1,1,Standard,3,3,4479.53,0.685
Resort Hotel,180,12,16,1,2,2,1,1,Deluxe,0,7,6268.09,0.674
Resort Hotel,358,10,34,3,3,1,2,1,Suite,2,8,9411.91,0.787
Resort Hotel,76,6,2,0,0,1,2,1,Family,1,9,7851.55,0.61
Resort Hotel,150,1,1,0,3,2,1,0,Standard,4,1,4778.35,0.603
City Hotel,237,4,48,5,3,2,2,1,Standard,4,9,4155.87,0.673
City Hotel,288,7,51,2,2,2,0,1,Suite,3,2,8960.17,0.774
Resort Hotel,230,12,36,4,3,1,1,1,Standard,2,0,4817.74,0.721
City Hotel,17,1,35,3,3,2,0,1,Suite,4,0,8794.17,0.468
City Hotel,72,8,43,4,3,1,1,0,Standard,2,9,5407.06,0.711
City Hotel,188,12,24,4,0,1,1,0,Suite,3,5,9588.36,0.782
Resort Hotel,16,10,49,4,0,1,2,0,Deluxe,0,0,7123.71,0.796
Resort Hotel,18,12,5,6,1,1,0,1,Deluxe,4,4,7186.47,0.936
City Hotel,218,11,29,7,0,3,2,1,Deluxe,1,5,7219.55,0.765
Resort Hotel,325,6,41,5,0,2,1,0,Standard,3,8,3736.51,0.514
Resort Hotel,119,5,1,4,1,2,0,0,Suite,0,5,8536.7,0.43
Resort Hotel,100,10,9,7,1,3,1,0,Suite,1,3,9538.65,0.621
Resort Hotel,33,11,36,7,2,2,2,0,Family,1,0,9902.82,0.643
Resort Hotel,83,9,16,5,2,1,1,0,Deluxe,4,5,7519.67,0.792
City Hotel,195,2,15,0,0,3,1,0,Family,2,6,6105.09,0.545
Resort Hotel,329,5,10,6,3,1,2,1,Deluxe,3,4,6411.03,0.632
City Hotel,201,6,37,3,2,3,1,1,Family,1,5,7875.78,0.722
City Hotel,343,7,16,5,2,1,0,0,Deluxe,4,9,5244.03,0.811
Resort Hotel,340,5,38,2,0,2,2,1,Suite,0,7,8441.6,0.606
City Hotel,10,9,48,7,3,2,1,1,Deluxe,1,0,6828.44,0.799
City Hotel,346,1,36,4,1,2,2,0,Standard,0,7,3475.12,0.56
City Hotel,217,7,15,7,1,3,1,0,Deluxe,3,1,6369.16,0.519
Resort Hotel,252,10,3,6,0,2,2,1,Deluxe,4,1,6524.17,0.602
Resort Hotel,221,7,19,2,0,3,2,1,Suite,0,7,9696.33,0.641
City Hotel,79,4,41,0,3,1,0,1,Standard,2,1,2667.02,0.62
Resort Hotel,6,9,37,0,0,2,2,0,Suite,0,7,9154.13,0.773
Resort Hotel,271,12,48,1,0,1,0,1,Family,0,4,6668.13,0.78
Resort Hotel,226,11,3,4,0,2,2,0,Family,4,8,8563.47,0.605
Resort Hotel,15,5,8,1,3,1,2,0,Standard,4,8,4072.52,0.588
City Hotel,11,4,24,6,0,3,1,1,Family,1,7,7717.23,0.416
City Hotel,290,7,14,2,2,2,1,0,Standard,0,8,4211.42,0.655
Resort Hotel,240,4,35,7,3,3,1,0,Deluxe,0,6,6525.83,0.656
Resort Hotel,20,3,16,3,2,3,2,0,Family,4,7,8601.32,0.618
City Hotel,177,9,7,1,3,1,2,1,Deluxe,2,5,7761.39,0.675
City Hotel,227,11,41,0,2,2,0,1,Suite,4,8,8811.28,0.815
Resort Hotel,272,8,35,4,3,3,0,1,Family,2,1,7718.66,0.588
City Hotel,287,1,8,7,1,1,0,0,Suite,4,2,7878.3,0.461
Resort Hotel,296,7,12,2,0,1,1,1,Suite,3,1,8401.53,0.509
Resort Hotel,133,9,49,5,0,1,1,0,Standard,0,5,5450.74,0.672
City Hotel,282,8,46,6,3,2,0,1,Suite,2,2,9496.82,0.622
City Hotel,152,8,16,6,2,2,2,0,Standard,3,0,4623.85,0.659
Resort Hotel,65,6,51,0,1,1,1,1,Standard,2,3,3369.64,0.623
Resort Hotel,136,11,4,5,2,2,1,1,Standard,1,4,5618.67,0.8
City Hotel,91,4,35,6,0,1,0,0,Standard,1,3,3714.15,0.404
Resort Hotel,316,8,45,3,0,2,1,0,Standard,0,5,4775.92,0.614
City Hotel,258,3,41,7,2,2,0,1,Deluxe,3,2,5791.75,0.673
